"","1044_si","1045_si","1062_si","1064_sg","1051_sca","1052_sca","1053_sca","1046_laa","1047_laa","1048_laa","1040_loa","1041_loa","1042_loa","1043_loa","994_sf","995_sf","1038_sf","1039_sf","990_ll","991_ll","992_ll","993_ll","1054_sr","1055_sr","1056_sr","1057_sr","1058_scr","1059_scr","1060_scr","1061_scr"
"1044_si",0,0,0.0449977501124944,0,0.179991000449977,0.179991000449977,0.0599970001499925,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.0899955002249887,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.179991000449977,0.164991750412479,0.164991750412479,0.164991750412479,0.0599970001499925,0
"1045_si",0,0,0.0449977501124944,0,0.179991000449977,0.179991000449977,0.0599970001499925,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.0899955002249887,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.179991000449977,0.164991750412479,0.164991750412479,0.164991750412479,0.0599970001499925,0
"1062_si",0.0449977501124944,0.0449977501124944,0,0.0449977501124944,0.194990250487476,0.194990250487476,0.0749962501874906,0.104994750262487,0.104994750262487,0.104994750262487,0.104994750262487,0.104994750262487,0.104994750262487,0.104994750262487,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.104994750262487,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.194990250487476,0.179991000449977,0.179991000449977,0.179991000449977,0.0749962501874906,0.0449977501124944
"1064_sg",0,0,0.0449977501124944,0,0.179991000449977,0.179991000449977,0.0599970001499925,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0899955002249887,0.0749962501874906,0.0749962501874906,0.0749962501874906,0.0899955002249887,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.0599970001499925,0.179991000449977,0.164991750412479,0.164991750412479,0.164991750412479,0.0599970001499925,0
"1051_sca",0.179991000449977,0.179991000449977,0.194990250487476,0.179991000449977,0,0,0.119994000299985,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.134993250337483,0.134993250337483,0.134993250337483,0.149992500374981,0.119994000299985,0.119994000299985,0.119994000299985,0.119994000299985,0.119994000299985,0.119994000299985,0,0.104994750262487,0.104994750262487,0.104994750262487,0.119994000299985,0.179991000449977
"1052_sca",0.179991000449977,0.179991000449977,0.194990250487476,0.179991000449977,0,0,0.119994000299985,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.149992500374981,0.134993250337483,0.134993250337483,0.134993250337483,0.149992500374981,0.119994000299985,0.119994000299985,0.119994000299985,0.119994000299985,0.119994000299985,0.119994000299985,0,0.104994750262487,0.104994750262487,0.104994750262487,0.119994000299985,0.179991000449977
"1053_sca",0.0599970001499925,0.0599970001499925,0.0749962501874906,0.0599970001499925,0.119994000299985,0.119994000299985,0,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0149992500374981,0.0149992500374981,0.0149992500374981,0.0299985000749962,0,0,0,0,0,0,0.119994000299985,0.104994750262487,0.104994750262487,0.104994750262487,0,0.0599970001499925
"1046_laa",0.0899955002249887,0.0899955002249887,0.104994750262487,0.0899955002249887,0.149992500374981,0.149992500374981,0.0299985000749962,0,0,0,0,0,0,0,0.0449977501124944,0.0449977501124944,0.0449977501124944,0.0599970001499925,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.149992500374981,0.134993250337483,0.134993250337483,0.134993250337483,0.0299985000749962,0.0899955002249887
"1047_laa",0.0899955002249887,0.0899955002249887,0.104994750262487,0.0899955002249887,0.149992500374981,0.149992500374981,0.0299985000749962,0,0,0,0,0,0,0,0.0449977501124944,0.0449977501124944,0.0449977501124944,0.0599970001499925,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.149992500374981,0.134993250337483,0.134993250337483,0.134993250337483,0.0299985000749962,0.0899955002249887
"1048_laa",0.0899955002249887,0.0899955002249887,0.104994750262487,0.0899955002249887,0.149992500374981,0.149992500374981,0.0299985000749962,0,0,0,0,0,0,0,0.0449977501124944,0.0449977501124944,0.0449977501124944,0.0599970001499925,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.0299985000749962,0.149992500374981,0.134993250337483,0.134993250337483,0.134993250337483,0.0299985000749962,0.0899955002249887
